Nr.crt.,Numar Anunt,Data Publicare,Denumire Autoritate contractanta,CUI,Judet,Tip Contract,Utilitati,Tip Procedura,Criteriu Atribuire,Valoare Estimata,Moneda,Modalitate Desfasurare,Trimis la OJEU,Fonduri Comunitare,Cod CPV,Denumire Cod CPV
1,141370,03.01.2013 10:31,Societatea Comerciala  COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,"690,974.03",RON,Offline,NU,NU,45231111-6,Lucrari de demontare si de inlocuire a conductelor (Rev.2)
2,141372,04.01.2013 01:30,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"3,465,300.00",RON,Offline,DA,NU,50513000-4,Servicii de reparare si de intretinere a robinetelor (Rev.2)
3,141384,04.01.2013 01:30,Agentia pentru Finantarea Investitiilor Rurale,13533790,Bucuresti,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"4,798,200.00",RON,Offline,DA,DA,79952000-2,Servicii pentru evenimente (Rev.2)
4,141366,04.01.2013 01:30,CENTRUL DE CERCETARE DEZVOLTARE PENTRU CULTURA PLANTELOR PE NISIPURI DABULENI,RO 2281069,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"650,000.00",RON,Offline,DA,NU,09134200-9,Motorina (Rev.2)
5,141379,04.01.2013 01:30,"Administratia Nationala ""Apele Romane"" - Administratia Bazinala de Apa Siret",RO 18264854,Bacau,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"1,600,000.00",RON,Online,DA,DA,71335000-5,Studii tehnice (Rev.2)
6,141377,04.01.2013 01:30,Municipiul Slatina,4394811,Olt,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"23,047,549.16",RON,Offline,DA,DA,45000000-7,Lucrari de constructii (Rev.2)
7,141380,04.01.2013 10:20,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,"80,994.50",RON,Offline,NU,NU,45255121-3,Lucrari de constructii de instalatii de suprafata (Rev.2)
8,141387,04.01.2013 10:22,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"94,000.00",RON,Online,NU,NU,66514110-0,Servicii de asigurare a autovehiculelor (Rev.2)
9,141376,04.01.2013 10:24,SPITALUL JUDETEAN SATU MARE,3963722,Satu Mare,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"342,471.41",RON,Online,NU,NU,33652000-5,Antineoplazice si imunomodulatoare (Rev.2)
10,141375,04.01.2013 10:27,COMUNA BEREZENI,3552085,Vaslui,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,"4,796,181.37",RON,Offline,NU,NU,45232411-6,Lucrari de constructii de canalizari de ape reziduale (Rev.2)
11,141371,04.01.2013 10:57,Societatea Comerciala  COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"450,284.82",RON,Offline,NU,NU,42124100-5,Piese pentru masini sau motoare (Rev.2)
12,141374,04.01.2013 10:58,Societatea Comerciala  COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"992,750.52",RON,Offline,NU,NU,50000000-5,Servicii de reparare si intretinere (Rev.2)
13,141408,05.01.2013 01:30,"COMPANIA NATIONALA ""ADMINISTRATIA PORTURILOR MARITIME"" SA CONSTANTA",11062831,Constanta,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"1,803,923.00",RON,Offline,DA,NU,90910000-9,Servicii de curatenie (Rev.2)
14,141386,05.01.2013 01:30,"SPITALUL JUDETEAN DE URGENTA""DR. CONSTANTIN OPRIS"" BAIA MARE",3694594,Maramures,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,092,480.50",RON,Online,DA,NU,33652100-6,Antineoplazice (Rev.2)
15,141381,05.01.2013 01:30,JUDETUL ILFOV - CONSILIUL JUDETEAN,4192545,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"1,116,014.05",RON,Offline,DA,NU,90620000-9,Servicii de deszapezire (Rev.2)
