Nr.crt.,Numar Anunt,Data Publicare,Denumire Autoritate contractanta,CUI,Judet,Tip Contract,Utilitati,Tip Procedura,Criteriu Atribuire,Valoare Estimata,Moneda,Modalitate Desfasurare,Trimis la OJEU,Fonduri Comunitare,Cod CPV,Denumire Cod CPV
1,113732,01.01.2011 01:30,Consiliul Judetean Buzau,3662495,Buzau,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"14,106,500.00",RON,Online,DA,NU,45232430-5,Statii de tratare a apei (Rev.2)
2,113735,01.01.2011 01:30,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"8,069,377.00",RON,Online,DA,NU,09132100-4,Benzina fara plumb (Rev.2)
3,113701,03.01.2011 09:48,Municipiul Iasi,4541580,Iasi,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"13,085,640.00",RON,Offline,NU,DA,45213000-3,"Lucrari de constructii de cladiri comerciale, de antrepozite si de cladiri industriale, de cladiri pentru activitati de transport (Rev.2)"
4,113746,03.01.2011 10:20,COMPANIA NATIONALA A HUILEI SA,R2135187,Hunedoara,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"26,667.00",RON,Offline,NU,NU,45520000-8,Inchiriere de echipament de terasament cu operator (Rev.2)
5,113737,03.01.2011 10:21,MUNICIPIUL BRAILA,4205670,Braila,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,"7,929,238.99",RON,Offline,NU,DA,45233140-2,Lucrari de drumuri (Rev.2)
6,113709,03.01.2011 10:32,Municipiul Slatina,4394811,Olt,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"11,510,555.09",RON,Offline,NU,DA,45233140-2,Lucrari de drumuri (Rev.2)
7,113747,03.01.2011 10:32,COMPANIA NATIONALA A HUILEI SA,R2135187,Hunedoara,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"23,000.00",RON,Offline,NU,NU,34600000-3,Locomotive si materiale rulante feroviare si piese (Rev.2)
8,113706,03.01.2011 10:47,ELECTRICA S.A.,RO  13267221,Bucuresti,Lucrari,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"11,300,000.00",RON,Offline,NU,NU,45210000-2,Lucrari de constructii de cladiri (Rev.2)
9,113714,03.01.2011 10:57,ELECTRICA S.A.,RO  13267221,Bucuresti,Servicii,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"300,000.00",EUR,Offline,NU,NU,71356100-9,Servicii de control tehnic (Rev.2)
10,113749,03.01.2011 11:12,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"94,500.00",RON,Online,NU,NU,03211200-5,Porumb (Rev.2)
