Nr.crt.,Numar Anunt,Data Publicare,Denumire Autoritate contractanta,CUI,Judet,Tip Contract,Utilitati,Tip Procedura,Criteriu Atribuire,Valoare Estimata,Moneda,Modalitate Desfasurare,Trimis la OJEU,Fonduri Comunitare,Cod CPV,Denumire Cod CPV
1,148745,06.01.2014 09:11,Municipiul Timisoara,14756536,Timis,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,"2,922,686.00",RON,Offline,NU,DA,45311000-0,Lucrari de cablare si conexiuni electrice (Rev.2)
2,148740,06.01.2014 09:40,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"283,500.00",RON,Online,NU,NU,18110000-3,Imbracaminte de uz profesional (Rev.2)
3,148741,06.01.2014 09:41,Societatea Comerciala  COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"494,213.00",RON,Offline,NU,NU,50221000-0,Servicii de reparare si de intretinere a locomotivelor (Rev.2)
4,148742,06.01.2014 09:43,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"390,935.00",RON,Online,NU,NU,24440000-0,Diverse tipuri de ingrasaminte (Rev.2)
5,148743,06.01.2014 09:44,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"114,536.00",RON,Online,NU,NU,03111000-2,Seminte (Rev.2)
6,148752,06.01.2014 15:47,CONSILIUL JUDETEAN OLT,4394706,Olt,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"168,300.00",RON,Offline,NU,DA,38000000-5,"Echipamente de laborator, optice si de precizie (cu exceptia ochelarilor) (Rev.2)"
7,148753,07.01.2014 01:30,Administratia Pietelor Sector 1,RO3592934,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"22,122,180.00",RON,Offline,DA,NU,66113000-5,Servicii de acordare de credit (Rev.2)
8,148746,07.01.2014 10:59,Societatea Comerciala  COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"138,909.00",RON,Offline,NU,NU,66515200-5,Servicii de asigurare a bunurilor (Rev.2)
9,148755,07.01.2014 11:04,CONPET SA PLOIESTI,RO 1350020,Prahova,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"1,550,000.00",RON,Offline,NU,NU,32522000-8,Echipamente de telecomunicatii (Rev.2)
10,148764,07.01.2014 11:48,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"71,850.00",RON,Online,NU,NU,18000000-9,"Imbracaminte, incaltaminte, articole de voiaj si accesorii (Rev.2)"
11,148766,07.01.2014 15:34,Filiala de Distributie a Energiei Electrice  ELECTRICA  DISTRIBUTIE TRANSILVANIA NORD S.A.,RO14476722,Cluj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"440,000.00",RON,Offline,NU,NU,79713000-5,Servicii de paza (Rev.2)
12,148758,08.01.2014 01:30,Directia Generala de Politie a Municipiului Bucuresti,4221160,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"6,157,600.00",RON,Offline,DA,NU,09310000-5,Electricitate (Rev.2)
13,148749,08.01.2014 01:30,Spitalul Clinic de Urgenta Bucuresti,4505332,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"6,964,405.08",RON,Offline,DA,NU,33140000-3,Consumabile medicale (Rev.2)
14,148750,08.01.2014 01:30,Spitalul Clinic de Urgenta Bucuresti,4505332,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"4,934,880.00",RON,Offline,DA,NU,33140000-3,Consumabile medicale (Rev.2)
15,148754,08.01.2014 01:30,APA NOVA BUCURESTI,RO 12276949,Bucuresti,Furnizare,DA,Negociere,Pretul cel mai scazut,"4,262,480.00",RON,Offline,DA,NU,44423740-0,Capace pentru guri de vizitare (Rev.2)
16,148772,08.01.2014 01:30,Unitatea Executiva Pentru Finantarea Invatamintului Superior Si A Cercetarii Dezvoltarii si Inovarii,12354176,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"819,000.00",RON,Offline,DA,DA,72212780-0,"Servicii de dezvoltare de software pentru managementul sistemelor, al stocarii si al continutului (Rev.2)"
17,148762,08.01.2014 01:30,UNIVERSITATEA TEHNICA DIN CLUJ NAPOCA,4288306,Cluj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"681,472.95",RON,Offline,DA,NU,44334000-0,Profile (Rev.2)
18,148763,08.01.2014 01:30,SOCIETATEA COMPLEXUL ENERGETIC HUNEDOARA S.A.,RO30855230,Hunedoara,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"24,463,430.88",RON,Offline,DA,NU,55321000-6,Servicii de preparare a mancarii (Rev.2)
19,148759,08.01.2014 01:30,TRANS-BUS S.A. BUZAU,RO 10622337,Buzau,Furnizare,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"12,432,000.00",RON,Online,DA,NU,34121400-5,Autobuze cu podea joasa (Rev.2)
20,148778,08.01.2014 01:30,SC MIZARA IMPEX SRL,RO15222110,Bucuresti,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,"25,416,823.38",RON,Offline,DA,DA,45000000-7,Lucrari de constructii (Rev.2)
21,148765,08.01.2014 01:30,"Comuna Erbiceni (Primaria Erbiceni , jud. Iasi)",4541254,Iasi,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"661,348.00",RON,Offline,DA,DA,43262100-8,Excavatoare mecanice (Rev.2)
22,148756,08.01.2014 01:30,SPITALUL CLINIC DE BOLI INFECTIOASE SI PNEUMOFTIZIOLOGIE DR VICTOR BABES TIMISOARA,2487647,Timis,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"2,527,606.53",RON,Offline,DA,NU,33651000-8,Antiinfectioase generale pentru uz sistemic (Rev.2)
23,148760,08.01.2014 01:30,SPITALUL CLINIC PANAIT SIRBU,4316295,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,876,541.04",RON,Offline,DA,NU,33696500-0,Reactivi de laborator (Rev.2)
24,148751,08.01.2014 01:30,Primaria Orasului Buftea,4434029,Ilfov,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"45,747,860.25",RON,Online,DA,DA,45233120-6,Lucrari de constructii de drumuri (Rev.2)
