Nr.crt.,Numar Anunt,Data Publicare,Denumire Autoritate contractanta,CUI,Judet,Tip Contract,Utilitati,Tip Procedura,Criteriu Atribuire,Valoare Estimata,Moneda,Modalitate Desfasurare,Trimis la OJEU,Fonduri Comunitare,Cod CPV,Denumire Cod CPV
1,92770,04.01.2010 14:54,HIDROELECTRICA SA,RO 13267213,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"710,500.00",RON,Offline,NU,NU,48821000-9,Servere de retea (Rev.2)
2,92808,04.01.2010 16:14,PRIMARIA COMUNEI SOTANGA,4344570,Dambovita,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"8,592,435.00",RON,Offline,NU,DA,45000000-7,Lucrari de constructii (Rev.2)
3,92787,05.01.2010 01:30,Societatea Nationala NUCLEARELECTRICA S.A.,10874881,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"3,994,000.00",RON,Offline,DA,NU,71632200-9,Servicii de testare nedistructiva (Rev.2)
4,92818,05.01.2010 01:30,APA TARNAVEI MARI SA,RO 19502679,Sibiu,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,"32,928,115.00",RON,Offline,DA,DA,45232150-8,Lucrari pentru conducte de alimentare cu apa (Rev.2)
5,92797,05.01.2010 01:30,ACADEMIA DE STUDII ECONOMICE BUCURESTI,4433775,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"10,500,000.00",RON,Offline,DA,DA,63512000-1,Vanzare de bilete de calatorie si servicii de voiaj cu servicii complete (Rev.2)
6,92792,05.01.2010 01:30,Orasul Amara,4427889,Ialomita,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"1,380,000.00",RON,Offline,DA,NU,66113000-5,Servicii de acordare de credit (Rev.2)
7,92817,05.01.2010 01:30,MUNICIPIUL BUCURESTI,4267117,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"528,000.00",RON,Offline,DA,NU,79314000-8,Studiu de fezabilitate (Rev.2)
8,92758,05.01.2010 01:30,COMPANIA NATIONALA DE AUTOSTRAZI SI DRUMURI NATIONALE DIN ROMANIA SA,16054368,Bucuresti,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"931,765.00",RON,Offline,DA,NU,34970000-7,Echipament de monitorizare a traficului (Rev.2)
9,92832,05.01.2010 11:16,ORAS COVASNA (CONSILIUL LOCAL ORAS COVASNA),4404613,Covasna,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"10,608,623.00",RON,Offline,NU,DA,45232411-6,Lucrari de constructii de canalizari de ape reziduale (Rev.2)
10,92849,05.01.2010 16:41,COMPLEXUL ENERGETIC CRAIOVA,R16299139,Dolj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"440,230.00",RON,Offline,NU,NU,42113100-5,Piese pentru turbine cu aburi (Rev.2)
